pays,orange,aqua,black,blue,green,gray,lime,maroon,navy,olive,red,silver,teal,white,yellow
The Democratic Republic Of The Congo,12.148148148148149,0.691358024691358,,65.22839506172839,,0.6358024691358025,,,,0.41358024691358025,19.641975308641975,0.49382716049382713,0.7469135802469136,,
The Republic Of The Congo,33.333333333333336,,,,32.97530864197531,,,,,0.6790123456790124,33.01234567901235,,,,
Costa Rica,,,,,,4.444444444444445,,,31.11111111111111,,31.11111111111111,,,33.333333333333336,
Croatia,0.5864197530864198,0.018518518518518517,0.018518518518518517,,,0.2839506172839506,,0.09876543209876543,32.81481481481482,0.1728395061728395,33.52469135802469,1.6666666666666667,1.1604938271604939,29.65432098765432,
Cuba,,,,,,0.36419753086419754,,0.13580246913580246,48.65432098765432,,19.97530864197531,0.35185185185185186,,30.51851851851852,
Cyprus,0.6851851851851852,,,,,0.808641975308642,,,,8.537037037037036,,1.1851851851851851,,88.78395061728395,
The Czech Republic,,,,,,0.35185185185185186,,0.15432098765432098,24.462962962962962,,37.376543209876544,0.1728395061728395,0.16049382716049382,37.32098765432099,
Denmark,,,,,,0.024691358024691357,,,,,77.49382716049382,,,22.48148148148148,
Djibouti,0.037037037037037035,,,,35.29012345679013,0.12962962962962962,0.09259259259259259,,,,1.376543209876543,36.01851851851852,0.06790123456790123,26.987654320987655,
Dominica,8.104938271604938,,9.104938271604938,,64.81481481481481,0.5123456790123457,,1.2530864197530864,,0.06790123456790123,6.895061728395062,0.07407407407407407,1.2098765432098766,7.962962962962963,
The Dominican Republic,0.006172839506172839,,0.05555555555555555,,0.32098765432098764,0.5617283950617284,,0.15432098765432098,34.7962962962963,0.04938271604938271,34.851851851851855,0.4506172839506173,0.1419753086419753,28.61111111111111,
East Timor,8.148148148148149,,14.62962962962963,,,0.21604938271604937,,0.18518518518518517,,0.7283950617283951,74.45679012345678,0.19135802469135801,,1.4444444444444444,
Ecuador,47.24074074074074,0.012345679012345678,0.6234567901234568,,0.08024691358024691,1.7037037037037037,,0.4444444444444444,0.24074074074074073,1.6049382716049383,25.962962962962962,0.42592592592592593,21.530864197530864,0.12962962962962962,
Egypt,0.8518518518518519,,33.333333333333336,,,1.1111111111111112,,,,,33.333333333333336,3.0185185185185186,,28.35185185185185,
El Salvador,0.12962962962962962,0.030864197530864196,,0.07407407407407407,0.5246913580246914,0.47530864197530864,,,66.67283950617283,0.06790123456790123,,3.0,0.18518518518518517,28.839506172839506,
Equatorial Guinea,0.1419753086419753,,,,30.72222222222222,0.4876543209876543,,,,0.04938271604938271,30.506172839506174,3.450617283950617,12.45679012345679,22.185185185185187,
Eritrea,6.765432098765432,,,,24.72222222222222,0.8333333333333334,,0.2777777777777778,,0.2777777777777778,42.67901234567901,,24.444444444444443,,
Estonia,,,32.22222222222222,,,1.1111111111111112,,,,,,,33.333333333333336,33.333333333333336,
Eswatini,14.141975308641975,,6.135802469135802,,,3.9691358024691357,,32.52469135802469,0.2654320987654321,0.35802469135802467,,0.5123456790123457,36.82716049382716,5.265432098765432,
Ethiopia,24.48148148148148,,,,29.82716049382716,1.3518518518518519,,0.06172839506172839,12.907407407407407,0.3950617283950617,29.82716049382716,,1.1481481481481481,,
Fiji,0.9382716049382716,,0.2716049382716049,,0.2037037037037037,1.7222222222222223,,0.5679012345679012,6.450617283950617,0.345679012345679,11.061728395061728,68.4320987654321,1.191358024691358,8.814814814814815,
Finland,,,,,,1.8395061728395061,,,38.888888888888886,,,0.3950617283950617,0.012345679012345678,58.864197530864196,
France,,,,,,,,,33.333333333333336,,33.333333333333336,,,33.333333333333336,
Gabon,31.11111111111111,,,,,,,,,1.1111111111111112,,1.1111111111111112,66.66666666666667,,
The Gambia,,,,,33.333333333333336,,,,22.22222222222222,,33.333333333333336,2.2222222222222223,,8.88888888888889,
Georgia,0.24691358024691357,,,,,,,,,,35.45679012345679,1.0617283950617284,,63.23456790123457,
Germany,33.333333333333336,,33.333333333333336,,,,,1.1111111111111112,,,32.22222222222222,,,,
Ghana,29.432098765432098,,2.5308641975308643,,33.333333333333336,,,0.05555555555555555,,1.3148148148148149,33.333333333333336,,,,
Greece,,,,,,1.6851851851851851,,,,,,2.6728395061728394,54.53086419753087,41.111111111111114,
Grenada,30.314814814814813,,,,0.15432098765432098,,,0.05555555555555555,,1.0802469135802468,40.46913580246913,,27.925925925925927,,
Guatemala,0.037037037037037035,,,,0.08641975308641975,0.9629629629629629,,0.09876543209876543,,0.47530864197530864,,2.7839506172839505,66.66666666666667,28.88888888888889,
Guinea,33.333333333333336,,,,,,,,,,33.333333333333336,,33.333333333333336,,
Guinea-Bissau,33.333333333333336,,1.5679012345679013,,33.333333333333336,,,0.20987654320987653,,,31.555555555555557,,,,
Guyana,16.765432098765434,,5.222222222222222,,48.907407407407405,0.06172839506172839,,0.4876543209876543,,0.2716049382716049,19.17283950617284,0.9320987654320988,0.654320987654321,7.5246913580246915,
Haiti,0.2839506172839506,,,,0.5679012345679012,0.8209876543209876,,,47.60493827160494,0.35185185185185186,47.41975308641975,0.42592592592592593,0.11728395061728394,2.4074074074074074,
Honduras,,,,,,0.30864197530864196,,,,,,0.30864197530864196,67.28395061728395,32.098765432098766,
Hungary,,,,,,,,,,,33.333333333333336,,33.333333333333336,33.333333333333336,
Iceland,,,,,,0.006172839506172839,,,,,16.512345679012345,2.493827160493827,65.67901234567901,15.308641975308642,
India,33.333333333333336,,,,33.333333333333336,0.5246913580246914,,,1.0493827160493827,,,3.7098765432098766,,28.049382716049383,
Indonesia,,,,,,,,,,,50.0,,,50.0,
Iran,1.5740740740740742,,,,27.098765432098766,0.8148148148148148,,,,,30.425925925925927,6.549382716049383,1.2530864197530864,32.28395061728395,
Iraq,,,33.333333333333336,,1.3888888888888888,1.4938271604938271,,,,,33.333333333333336,1.7962962962962963,0.48148148148148145,28.17283950617284,
